ID,Latitud,Longitud
P13252,41.650,-5.866
P15099,42.180,-8.158
P16099,42.327,-0.589
P14137,41.850,-2.577
P6010,39.150,-5.742
P10868,40.847,-5.207
P4414,38.596,-5.105
P2997,38.034,-4.097
P2516,37.792,-2.396
P11300,40.997,-5.205
P9961,40.356,-0.222
P16193,42.499,-6.339
P7969,39.848,-6.651
P15538,42.246,-2.421
P4768,38.563,-0.436
P4707,38.688,-4.335
P11230,40.812,-0.315
P3007,38.021,-3.463
P11890,41.184,-4.073
P15042,42.002,-0.077
P19545,43.441,-7.444
P4315,38.499,-2.615
P2337,37.800,-5.684
P9677,40.232,0.227
P14150,41.822,-1.705
P19289,43.303,-2.637
P11583,41.098,-5.337
P2057,37.692,-7.325
P9746,40.443,-4.752
P1527,37.436,-4.239
P4757,38.595,-1.138
P10996,40.900,-6.198
P17986,42.998,-6.683
P4389,38.598,-6.703
P16482,42.331,1.241
P4980,38.797,-5.230
P290,36.800,-6.062
P8587,40.047,-5.151
P15419,42.015,1.476
P1834,37.599,-6.567
P12956,41.529,-3.796
P12621,41.446,-5.066
P7967,39.847,-6.781
P5161,38.812,-3.049
P11246,40.755,0.739
P18560,43.140,-4.426
P10043,40.536,-4.224
P230,36.698,-5.316
P12009,41.250,-5.801
P14887,41.870,1.392
P12482,41.385,-4.134
P6475,39.282,-3.998
P13977,41.782,-1.977
P12868,41.292,0.994
P541,36.898,-2.630
P16290,42.338,0.225
P2716,37.950,-5.747
P853,37.139,-4.435
P9739,40.447,-5.212
P16913,42.700,-5.932
P9297,40.300,-6.131
P12192,41.271,-3.405
P18234,42.987,-2.106
P5040,38.706,-1.387
P13757,41.799,-5.464
P5490,38.842,-1.056
P10291,40.650,-6.330
P8505,39.882,-0.785
P13446,41.682,-3.925
P3595,38.297,-6.764
P15371,42.174,-1.750
P11361,40.900,-1.169
P528,36.920,-3.440
P15393,42.112,-0.269
P17457,42.850,-5.796
P10589,40.746,-5.076
P1959,37.650,-6.063
P17850,42.925,-3.544
P5791,38.942,-1.049
P13133,41.556,-2.793
P19089,43.291,-4.490
P14812,42.077,-3.643
P1218,37.242,-2.425
P9065,40.157,-2.859
P3813,38.240,-1.036
P19573,43.449,-5.519
P4195,38.414,-1.598
P12615,41.449,-5.466
P10788,40.703,-1.249
P1452,37.322,-1.855
P10793,40.689,-0.920
P4417,38.595,-4.913
P8361,39.813,-0.399
P18362,43.099,-5.658
P10705,40.798,-6.727
P5115,38.850,-6.000
P14525,41.821,0.512
P15876,42.377,-3.632
P19716,43.499,-5.449
P11456,41.037,-4.276
P5035,38.718,-1.707
P14895,41.835,1.927
P1938,37.641,-7.387
P3993,38.450,-6.064
P12507,41.347,-2.470
P7918,39.673,-0.605
P15790,42.042,2.560
P8374,39.594,3.034
P506,36.944,-4.814
P8886,40.146,-5.084
P16877,42.676,-8.379
P13180,41.429,0.340
P12384,41.226,-0.612
P250,36.750,-6.000
P15962,42.120,2.164
P14738,42.071,-8.626
P522,36.928,-3.815
P10445,40.698,-5.340
P3812,38.243,-1.099
P7710,39.745,-4.895
P7093,39.377,-0.694
P1595,37.495,-7.070
P9536,39.906,4.125
P13334,41.516,-0.388
P10064,40.507,-2.843
P13082,41.600,-6.201
P7567,39.697,-5.220
P11735,41.144,-4.805
P12470,41.395,-4.934
P9878,40.499,-5.671
P15898,42.338,-2.145
P5609,38.965,-3.171
P18236,42.983,-1.970
P14584,42.044,-7.212
P6445,39.300,-5.935
P11181,40.924,-3.551
P10318,40.641,-4.550
P293,36.800,-5.875
P13673,41.590,0.154
P16517,42.576,-8.375
P5150,38.828,-3.754
P16343,42.530,-8.170
P11897,41.176,-3.608
P5853,39.099,-6.451
P2381,37.757,-2.904
P12212,41.234,-2.076
P17455,42.850,-5.932
P14512,41.866,-0.358
P8118,39.899,-6.456
P7585,39.683,-4.051
P154,36.600,-6.249
P19134,43.213,-1.407
P566,37.000,-5.688
P2372,37.771,-3.472
P10909,40.797,-2.499
P14153,41.815,-1.504
P13527,41.463,1.480
P11570,41.100,-6.199
P9744,40.445,-4.883
P8591,40.045,-4.890
P5946,38.965,-0.468
P16359,42.545,-7.085
P3134,38.073,-3.525
P13657,41.641,-0.913
P226,36.699,-5.564
P12822,41.434,-2.064
P10935,40.733,-0.784
P17965,42.981,-8.117
P4179,38.449,-2.618
P17915,42.753,0.879
P11073,40.797,-1.110
P11808,40.995,0.033
P14520,41.839,0.178
P10149,40.599,-6.461
P9191,40.231,-3.904
P14099,41.897,-5.127
P18780,43.120,-1.619
P17156,42.676,-1.785
P1435,37.357,-2.922
P11030,40.882,-3.950
P7497,39.538,-0.941
P18160,43.044,-7.162
P5886,39.088,-4.326
P10325,40.634,-4.089
P11889,41.185,-4.140
P16374,42.550,-6.068
P6592,39.350,-5.871
P12173,41.292,-4.669
P8936,40.074,-1.817
P19121,43.243,-2.297
P1495,37.450,-6.252
P6185,39.180,-3.872
P16739,42.648,-5.389
P2133,37.646,-2.530
P14237,41.943,-7.277
P19043,43.289,-7.647
P928,37.199,-6.501
P14328,41.851,-1.166
P2389,37.742,-2.399
P8773,40.056,-2.799
P13360,41.421,1.342
P5491,38.839,-0.992
P15364,42.190,-2.221
P2565,37.893,-7.266
P15052,41.967,0.594
P5721,39.049,-5.549
P16351,42.539,-7.628
P8415,39.998,-6.653
P4567,38.636,-4.209
P7704,39.748,-5.285
P4755,38.601,-1.266
P5205,38.703,-0.232
P19228,43.347,-6.824
P19818,43.546,-6.964
P9290,40.298,-6.590
P1441,37.346,-2.545
P9167,40.249,-5.476
P12781,41.494,-4.799
P14627,42.038,-4.317
P5277,38.897,-5.165
P4680,38.700,-6.064
P11202,40.887,-2.163
P891,37.080,-2.057
P16611,42.533,-1.998
P15508,42.290,-4.446
P9867,40.499,-6.395
P7687,39.749,-6.390
P13118,41.579,-3.794
P2201,37.750,-6.189
P17914,42.757,0.811
P7697,39.750,-5.740
P16919,42.699,-5.524
P19704,43.500,-6.275
P15516,42.282,-3.906
P14117,41.882,-3.919
P1711,37.545,-7.008
P16612,42.531,-1.930
P9455,40.346,-5.016
P4284,38.541,-4.594
P3398,38.162,-3.077
P16072,42.396,-2.413
P14721,41.781,1.988
P17373,42.608,0.795
P16790,42.581,-1.927
P514,36.937,-4.314
P16054,42.426,-3.630
P1788,37.484,-2.160
P19088,43.291,-4.559
P15813,42.385,-7.895
P10808,40.642,0.067
P2338,37.799,-5.621
P17192,42.565,0.655
P4434,38.579,-3.826
P3479,38.250,-6.064
P16761,42.632,-3.894
P4061,38.369,-1.728
P15412,42.044,1.007
P13750,41.800,-5.933
P10488,40.648,-2.506
P10592,40.745,-4.878
P10199,40.566,-3.169
P8791,40.017,-1.624
P16322,42.206,2.378
P13261,41.648,-5.264
P19557,43.448,-6.619
P8604,40.033,-4.041
P16251,42.446,-2.410
P2479,37.843,-4.735
P8579,40.050,-5.673
P17539,42.711,-0.216
P15555,42.206,-1.275
P10066,40.503,-2.711
P3621,38.297,-5.109
P4262,38.550,-6.000
P11023,40.889,-4.413
P984,37.159,-2.993
P4674,38.699,-6.448
P15589,42.093,1.012
P15843,42.400,-5.865
P18367,43.098,-5.316
P2476,37.845,-4.925
P17370,42.619,0.592
P14940,42.146,-6.944
P9650,40.314,-1.539
P14334,41.834,-0.764
P5765,39.003,-2.719
P4010,38.445,-4.979
P61,36.350,-6.000
P3435,38.076,-0.730
P20096,43.691,-7.519
P16077,42.386,-2.075
P7724,39.732,-3.985
